,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
5106,32033,1883,10904,19246,847,32,406
5107,173832,8351,136360,29121,2043,70,2011
5108,13481,370,5572,7539,1115,24,386
5109,235278,33964,166584,34730,280,65,747
5110,17060,920,15043,1097,21,3,53
5111,2872,85,849,1938,105,1,97
5112,1263,31,912,320,121,1,41
5113,32510,269,21242,10999,662,5,1037
5114,2032,23,1445,564,25,1,20
5115,1547,92,916,539,14,2,43
5116,1104,59,119,926,55,4,11
5117,120102,14053,87633,18416,2999,354,3858
5118,9807,353,5738,3716,107,12,100
5119,3762,14,488,3260,314,1,21
5120,12801,361,4040,8400,315,7,81
5121,3152,156,1653,1343,127,3,7
5122,17486,81,3793,13612,604,6,342
5123,108317,2172,35018,71127,4646,105,663
5124,16854,398,10401,6055,429,5,183
5125,199696,5571,89556,104569,3181,106,3337
5126,22474,1011,4637,16826,579,8,107
5127,27160,1166,12998,12996,599,9,143
5128,34885,1485,21156,12244,192,6,161
5129,70158,57,45935,24166,1368,3,1597
5130,20604,1339,14826,4439,125,6,188
5131,476043,5963,230226,239854,8970,112,3954
5132,105283,746,74524,30013,3369,34,1707
5133,11896,250,11189,457,73,1,-159
5134,1001,49,611,341,32,1,3
5135,2368,84,470,1814,34,1,29
5136,50879,1080,26099,23700,2594,82,1735
5137,11852,274,10589,989,38,1,26
5138,1604,19,15,1570,287,5,9
5139,6242,372,2059,3811,161,13,45
5140,171121,4711,141380,25030,989,19,3411
5141,1961785,111774,518522,1331489,17415,505,12155
5142,28077,805,12657,14615,478,9,144
5143,39376,281,22275,16820,568,5,469
5144,266756,40769,1255,224732,1094,55,16
5145,4440,18,3357,1065,109,1,3
5146,21459,384,2651,18424,542,15,480
5147,10382,724,6951,2707,117,9,152
5148,24761,717,7568,16476,1141,24,263
5149,13675,217,4451,9007,350,6,352
5150,8191,98,4606,3487,315,5,229
5151,15731,29,10606,5096,314,2,280
5152,71675,975,15337,55363,3171,45,777
5153,50265,282,24506,25477,812,6,626
5154,59437,9619,16324,33494,89,13,9
5155,14644,487,2190,11967,695,12,31
5156,739503,38406,396737,304360,32091,1272,18480
5157,2889,167,1623,1099,79,3,36
5158,844,71,706,67,5,1,21
5159,175365,2283,117361,55721,3913,19,5113
5160,728,24,221,483,45,2,11
5161,4259,90,539,3630,153,2,2
5162,4331,34,2139,2158,53,3,126
5163,20415,544,12208,7663,289,5,50
5164,36829,1306,9786,25737,1385,35,411
5165,3191,60,1419,1712,87,4,40
5166,2336,32,379,1925,180,5,18
5167,191849,29299,71626,90924,404,87,444
5168,186506,8736,170129,7641,397,41,573
5169,7866,289,1413,6164,364,22,90
5170,6935,271,787,5877,485,9,47
5171,4017,550,2324,1143,3,2,40
5172,276146,7750,134670,133726,10218,277,5575
5173,33076,1923,11414,19739,1043,40,510
5174,175927,8425,138457,29045,2095,74,2097
5175,14268,392,5831,8045,787,22,259
5176,18180,299,15159,2722,148,1,57
5177,235561,34043,168646,32872,283,79,2062
5178,13074,61,8015,4998,215,5,639
5179,2989,88,873,2028,117,3,24
5180,33140,273,22162,10705,630,4,920
5181,2055,24,1483,548,23,1,38
5182,383,31,199,153,13,1,4
5183,1727,72,1338,317,7,1,7
5184,1586,94,931,561,39,2,15
5185,1162,61,139,962,58,2,20
5186,124301,14649,90748,18904,4199,596,3115
5187,10025,365,5797,3863,218,12,59
5188,8437,210,7493,734,135,2,85
5189,4086,15,584,3487,324,1,96
5190,1464,55,953,456,346,9,583
5191,13464,365,4206,8893,663,4,166
5192,3239,157,1658,1424,87,1,5
5193,18198,83,4152,13963,712,2,359
5194,113702,2255,36308,75139,5385,83,1290
5195,17233,403,10561,6269,379,5,160
5196,203736,5738,92929,105069,4040,167,3373
5197,22992,1017,4736,17239,518,6,99
5198,27560,1183,13196,13181,400,17,198
5199,35306,1492,21339,12475,421,7,183
5200,71879,62,47569,24248,1721,5,1634
5201,20749,1354,14910,4485,145,15,84
5202,484630,6134,241917,236579,8587,171,11691
5203,108571,783,76339,31449,3288,37,1815
5204,4516,52,2809,1655,89,3,110
5205,1025,50,621,354,24,1,10
5206,2416,85,489,1842,48,1,19
5207,52991,1162,29006,22823,2112,82,2907
5208,11902,276,10611,1015,50,2,22
